ticker,name,start_balance,end_balance,annualized_return,best_year,worst_year,sharpe_ratio,sortino_ratio,3m,ytd,1y,3y,5y,10y,full_period,5y_annualized_volatility,cagr_pct,annualized_volatility_pct,max_drawdown_pct,3y_annualized_volatility_pct
SPMO,Invesco S&P 500 Momentum ETF,1.0,3.0246482837895203,0.28590119249386076,0.6635801189742916,0.039655440349889215,1.1495825641700717,2.100070362161322,-0.09877775710493142,0.17861028362606368,0.2670897406360151,0.3908776911740284,,,0.2974779080845744,,29.74779080845744,21.530107764494353,-19.003653477100034,21.845187533814368
426030,TIME 미국나스닥100액티브,1.0,4.439344585924388,0.4081721555138717,0.8408130408532906,-0.16079360379034668,1.1195750696605913,2.0870714152432708,-0.21782608695652161,0.31736965436438225,0.41266450984703384,0.49526216116970523,,,0.4200718522839033,,42.007185228390334,33.028363880929035,-25.451682413393005,35.832531436875065
277540,ACE 아시아TOP50,1.0,2.547343925533619,0.24793536932550017,0.4257919377394055,-0.1091317605520784,0.8982381361366739,1.7112170826678414,-0.12812414171930797,0.35373134328358224,0.6608245265250603,0.38487821090835506,,,0.24609174766175168,,24.60917476617517,23.327949828597575,-18.654139564763504,23.738064673578656
132030,KODEX 골드선물(H),1.0,2.07623354599047,0.19011588770910998,0.5935210911846427,-0.04094322861988209,0.8082201451406841,1.451772592516143,0.006853338554924537,0.0188230632058648,0.280378486055777,0.2750438210637469,,,0.18755361057811082,,18.755361057811083,18.772244299415913,-23.913775682047834,20.070545201740863
144600,KODEX 은선물(H),1.0,2.532087367709977,0.301511057358591,1.3635852240765045,-0.10789369297897633,0.6238358312336796,1.1930540745908649,-0.0938759065269944,-0.10789369297897633,0.6614952718676126,0.3389055902571547,,,0.24433168971000185,,24.433168971000185,42.177158893238484,-48.35135135135135,46.83011130302887
XLE,State Street Energy Select Sector SPDR ETF,1.0,1.852188725864745,0.17656258555679388,0.3599042532708856,0.01832772127510518,0.5478194206127913,0.9096964114396562,0.035413292210946246,0.3599042532708856,0.4260028168383676,0.17382920637348076,,,0.1560716772911841,,15.607167729118409,25.221405589460925,-19.231495863687776,21.798914513318376
133690,TIGER 미국나스닥100,1.0,2.6111054538048637,0.246471432480111,0.6142785065590315,-0.13501403820136437,1.0662818190974903,1.9056850730975805,-0.10991103573447591,0.10556075687395272,0.2359527350851094,0.2602066369407454,,,0.25336144814639017,,25.336144814639017,19.514222334769045,-18.763833101073846,18.68096117837905
402970,ACE 미국배당다우존스,1.0,1.6664863695369976,0.1299295419733692,0.275309020328941,-0.0076806577239288965,0.6677661576674461,1.1257567285813435,-0.019601603767581022,0.21711305996681673,0.2747207281754238,0.168884182360169,,,0.1276871996290334,,12.76871996290334,13.707600083672924,-11.342244720398643,13.14338860299804
069500,KODEX 200,1.0,3.2733714076291123,0.3488534130068539,0.9422217937594395,-0.16021745105824148,0.815326571719937,1.655558764412262,-0.2033832798192413,0.7733289212442094,1.5059621229833997,0.49985890880061556,,,0.3218292597069299,,32.18292597069299,38.077820126202006,-22.502368023369314,42.43068184932652
168580,ACE 중국본토CSI300,1.0,1.3099357390014834,0.08371042664213686,0.3129276863325321,-0.12070577712729147,0.22167116498490494,0.3612266426297898,-0.1256345177664976,-0.009060837048755932,0.09157160963244615,0.12849860037574645,,,0.06558533077445872,,6.558533077445872,20.44271254631418,-31.393088908653667,19.533079269017264
200250,KIWOOM 인도Nifty50(합성),1.0,1.1907821229050277,0.05118646121151968,0.19566720442498253,-0.17447714949651405,0.08947840172831573,0.1277521571762765,-0.07787151200519138,-0.17447714949651405,-0.12553846153846138,0.021282952880393058,,,0.04194044299572486,,4.194044299572486,14.295777951144192,-20.7620817843866,14.044060969877764
101280,KODEX 일본TOPIX100,1.0,2.1106500691562937,0.18523690782262806,0.26061552701608215,-0.03367911479944652,1.1327224143164272,1.9826156124733245,-0.033779719504859695,0.15448630655167195,0.26759978402624895,0.22553185235948803,,,0.19215639307255583,,19.215639307255582,12.963642140430062,-6.551873150949039,12.632661134310109
TLT,iShares 20+ Year Treasury Bond ETF,1.0,0.9292299527916409,-0.007479143890129028,0.04204781654089973,-0.09808966985839285,-0.3271209783652625,-0.41260502839599444,-0.0973653054908733,-0.06803575265808448,-0.0020009812457139065,0.004635139812911193,,,-0.017122085302779255,,-1.7122085302779255,14.023549240279282,-23.05469946293106,14.80622454959677
385560,RISE KIS국고채30년Enhanced,1.0,0.7740819625081189,-0.04125278071873117,0.17461278878601716,-0.24585362982148906,-0.4033500613518728,-0.5742564211835772,-0.1013117744028621,-0.24585362982148906,-0.3323301021471752,-0.04137045193599043,,,-0.058474204767375526,,-5.847420476737552,19.74652192638578,-37.560922117165404,17.113808385503816
