portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
optimized,1,2022-04-30,2022-12-31,2023-05-31,14,-11.39692128939359
optimized,2,2026-06-30,2026-07-31,,3,-8.704032093677295
optimized,3,2026-03-31,2026-03-31,2026-05-31,3,-5.976775505517418
optimized,4,2022-01-31,2022-01-31,2022-03-31,3,-4.822945338277707
optimized,5,2023-09-30,2023-10-31,2023-11-30,3,-3.1749823002370725
optimized,6,2025-04-30,2025-04-30,2025-05-31,2,-0.3848238674125204
optimized,7,2025-02-28,2025-02-28,2025-03-31,2,-0.30627002346816923
provided,1,2022-01-31,2022-12-31,2024-03-31,27,-15.777783819033242
provided,2,2026-06-30,2026-07-31,,3,-8.398031523653327
provided,3,2026-03-31,2026-03-31,2026-05-31,3,-6.006557831039538
provided,4,2025-04-30,2025-05-31,2025-06-30,3,-1.4265929943763633
provided,5,2024-08-31,2024-08-31,2024-09-30,2,-0.6388627236756261
benchmark,1,2022-01-31,2022-06-30,2023-04-30,16,-13.403058170899119
benchmark,2,2025-02-28,2025-04-30,2025-07-31,6,-8.72715880079885
benchmark,3,2026-07-31,2026-07-31,,2,-8.234183406494811
benchmark,4,2023-09-30,2023-10-31,2023-12-31,4,-5.16303212859669
benchmark,5,2025-12-31,2026-03-31,2026-04-30,5,-1.5483721436609588
benchmark,6,2024-04-30,2024-04-30,2024-05-31,2,-1.496621830211764
benchmark,7,2023-05-31,2023-05-31,2023-06-30,2,-0.8622288120753274
benchmark,8,2024-07-31,2024-08-31,2024-09-30,3,-0.4621222689090154
benchmark,9,2023-07-31,2023-07-31,2023-08-31,2,-0.25010605863751145
